ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6215;0;8;0;48%;343;;22;4;1;0;6
6210;1;17;0;55%;507;;6;1;0;0;12
6210;0;2;0;45%;450;;16;3;0;0;1
6216;1;15;0;52%;376;;18;3;0;1;6
6216;0;7;0;48%;356;;18;4;1;0;6
6214;1;17;0;60%;465;;20;6;0;0;8
6214;0;8;0;40%;315;;14;3;2;0;8
6211;1;15;0;57%;491;;11;2;0;2;9
6211;0;10;0;43%;391;;8;1;0;4;4
6219;1;14;0;63%;539;;13;1;0;3;4
6219;0;4;0;37%;318;;6;1;0;1;1
6218;1;14;0;33%;298;;10;1;0;0;8
6218;0;8;0;67%;627;;10;2;0;3;9
6217;1;24;0;60%;563;;10;2;0;1;12
6217;0;9;0;40%;413;;12;3;0;2;3
6221;1;20;0;56%;389;;12;3;0;1;7
6221;0;13;0;44%;323;;19;1;0;0;3
6220;1;13;0;63%;502;;10;1;1;2;11
6220;0;8;0;37%;307;;13;1;0;3;4
6222;1;5;0;66%;636;;4;1;0;0;7
6222;0;14;0;34%;339;;4;0;0;1;8
6229;1;12;0;38%;300;;18;2;0;0;3
6229;0;21;0;62%;466;;15;2;0;4;6
6226;1;13;0;36%;282;;15;0;0;5;8
6226;0;10;0;64%;546;;8;1;0;1;0
6227;1;19;0;58%;442;;14;1;0;1;3
6227;0;5;0;42%;330;;18;1;1;1;2
6223;1;11;0;55%;476;;14;2;0;3;5
6223;0;9;0;45%;391;;22;2;0;0;6
6224;1;11;0;47%;481;;7;0;0;1;3
6224;0;12;0;53%;542;;16;0;0;2;1
6228;1;17;0;69%;619;;10;1;0;2;10
6228;0;11;0;31%;282;;18;0;0;1;4
6225;1;13;0;36%;313;;12;4;0;1;3
6225;0;12;0;64%;538;;8;3;1;2;7
6231;1;13;0;51%;406;;16;3;0;2;4
6231;0;5;0;49%;407;;13;2;2;4;2
6232;1;17;0;59%;538;;14;1;0;1;7
6232;0;16;0;41%;364;;12;3;0;1;2
6230;1;9;0;41%;284;;19;1;0;8;8
6230;0;10;0;59%;429;;13;3;0;1;6
6236;1;9;0;46%;374;;19;3;0;0;5
6236;0;11;0;54%;447;;17;3;0;2;0
6233;1;25;0;58%;587;;12;1;0;3;6
6233;0;3;0;42%;437;;13;1;0;1;1
6239;1;11;4;46%;320;;26;3;0;3;3
6239;0;20;8;54%;379;;15;2;0;5;4
6238;1;15;0;47%;430;;10;1;0;0;8
6238;0;8;0;53%;491;;12;3;0;2;0
6235;1;16;0;39%;387;;12;2;0;0;3
6235;0;12;0;61%;590;;7;1;0;6;6
6237;1;22;0;44%;277;;25;4;0;2;10
6237;0;9;0;56%;364;;15;2;0;2;5
6234;1;18;0;56%;472;;13;1;0;5;7
6234;0;11;0;44%;386;;12;3;0;2;2
6240;1;17;0;62%;490;;11;2;0;3;7
6240;0;12;0;38%;313;;19;4;0;0;1
6241;1;16;0;47%;496;;16;4;0;2;3
6241;0;20;0;53%;551;;11;0;0;1;7
